Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,serial_number,"2147483647",,time_created,"702940946",,manufacturer,"15",,garmin_product,"1328",,type,"4",,
Definition,2,record,timestamp,1,,distance,1,,speed,1,,,,,,,,
Data,2,record,timestamp,"702940946",s,distance,"0.02",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940947",s,distance,"0.02",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940948",s,distance,"0.02",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940949",s,distance,"0.21",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940950",s,distance,"0.28",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940951",s,distance,"0.35",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940952",s,distance,"0.41",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940953",s,distance,"1.14",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,
Data,2,record,timestamp,"702940954",s,distance,"1.85",m,speed,"0.092",m/s,enhanced_speed,"0.092",m/s,,,,
Data,2,record,timestamp,"702940955",s,distance,"2.75",m,speed,"0.152",m/s,enhanced_speed,"0.152",m/s,,,,
Data,2,record,timestamp,"702940956",s,distance,"3.51",m,speed,"0.209",m/s,enhanced_speed,"0.209",m/s,,,,
Data,2,record,timestamp,"702940957",s,distance,"4.22",m,speed,"0.262",m/s,enhanced_speed,"0.262",m/s,,,,
Data,2,record,timestamp,"702940958",s,distance,"4.93",m,speed,"0.307",m/s,enhanced_speed,"0.307",m/s,,,,
Data,2,record,timestamp,"702940959",s,distance,"5.73",m,speed,"0.368",m/s,enhanced_speed,"0.368",m/s,,,,
Definition,3,lap,timestamp,1,,start_time,1,,total_elapsed_time,1,,,,,,,,
Data,3,lap,timestamp,"702941091",s,start_time,"702940946",,total_elapsed_time,"13.749",s,,,,,,,
Definition,4,session,timestamp,1,,start_time,1,,total_elapsed_time,1,,,,,,,,
Definition,4,session,timestamp,1,,start_time,1,,total_elapsed_time,1,,sport,1,,sub_sport,1,,
Data,4,session,timestamp,"702941091",s,start_time,"702940946",,total_elapsed_time,"13.749",s,sport,"1",,sub_sport,"0",,
Definition,5,activity,timestamp,1,,num_sessions,1,,,,,,,,,,,
Data,5,activity,timestamp,"702941091",,num_sessions,"1",,,,,,,,,,,
